Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01T00:00:00.000000,France,France,FR,13.95,30.19,96.46,36.68,opendata.reseaux-energies.fr,false,""
2024-01-01T01:00:00.000000,France,France,FR,14.68,31.14,96.33,36.41,opendata.reseaux-energies.fr,false,""
2024-01-01T02:00:00.000000,France,France,FR,16.41,33.37,95.94,31.77,opendata.reseaux-energies.fr,false,""
2024-01-01T03:00:00.000000,France,France,FR,16.81,33.93,95.83,29.95,opendata.reseaux-energies.fr,false,""
2024-01-01T04:00:00.000000,France,France,FR,16.98,34.18,95.79,29.96,opendata.reseaux-energies.fr,false,""
2024-01-01T05:00:00.000000,France,France,FR,17.43,34.67,95.7,29.4,opendata.reseaux-energies.fr,false,""
2024-01-01T06:00:00.000000,France,France,FR,17.62,34.83,95.68,29.09,opendata.reseaux-energies.fr,false,""
2024-01-01T07:00:00.000000,France,France,FR,16.49,33.5,95.92,32.26,opendata.reseaux-energies.fr,false,""
2024-01-01T08:00:00.000000,France,France,FR,15.54,32.49,96.1,34.57,opendata.reseaux-energies.fr,false,""
2024-01-01T09:00:00.000000,France,France,FR,14.85,31.91,96.26,34.93,opendata.reseaux-energies.fr,false,""
2024-01-01T10:00:00.000000,France,France,FR,14.2,31.61,96.4,35.96,opendata.reseaux-energies.fr,false,""
2024-01-01T11:00:00.000000,France,France,FR,13.84,31.45,96.46,36.87,opendata.reseaux-energies.fr,false,""
2024-01-01T12:00:00.000000,France,France,FR,13.58,31.14,96.51,36.97,opendata.reseaux-energies.fr,false,""
2024-01-01T13:00:00.000000,France,France,FR,13.29,30.59,96.58,36.13,opendata.reseaux-energies.fr,false,""
2024-01-01T14:00:00.000000,France,France,FR,14.4,31.58,96.37,35.05,opendata.reseaux-energies.fr,false,""
2024-01-01T15:00:00.000000,France,France,FR,13.32,29.23,96.59,32.47,opendata.reseaux-energies.fr,false,""
2024-01-01T16:00:00.000000,France,France,FR,12.52,27.48,96.78,30.62,opendata.reseaux-energies.fr,false,""
2024-01-01T17:00:00.000000,France,France,FR,12.02,26.68,96.91,32.13,opendata.reseaux-energies.fr,false,""
2024-01-01T18:00:00.000000,France,France,FR,11.52,26.08,97.04,34.18,opendata.reseaux-energies.fr,false,""
2024-01-01T19:00:00.000000,France,France,FR,11.55,26.21,97.03,35.09,opendata.reseaux-energies.fr,false,""
2024-01-01T20:00:00.000000,France,France,FR,11.63,26.49,97.0,35.86,opendata.reseaux-energies.fr,false,""
2024-01-01T21:00:00.000000,France,France,FR,11.69,26.61,96.99,36.16,opendata.reseaux-energies.fr,false,""
2024-01-01T22:00:00.000000,France,France,FR,11.64,26.56,97.0,36.4,opendata.reseaux-energies.fr,false,""
2024-01-01T23:00:00.000000,France,France,FR,12.45,27.77,96.78,36.89,opendata.reseaux-energies.fr,false,""
2024-01-02T00:00:00.000000,France,France,FR,12.26,27.49,96.83,37.0,opendata.reseaux-energies.fr,false,""
2024-01-02T01:00:00.000000,France,France,FR,12.37,27.63,96.81,36.9,opendata.reseaux-energies.fr,false,""
2024-01-02T02:00:00.000000,France,France,FR,13.03,28.78,96.64,37.64,opendata.reseaux-energies.fr,false,""
2024-01-02T03:00:00.000000,France,France,FR,13.34,29.33,96.56,38.16,opendata.reseaux-energies.fr,false,""
2024-01-02T04:00:00.000000,France,France,FR,13.35,29.28,96.55,37.83,opendata.reseaux-energies.fr,false,""
2024-01-02T05:00:00.000000,France,France,FR,12.55,27.87,96.75,36.36,opendata.reseaux-energies.fr,false,""
2024-01-02T06:00:00.000000,France,France,FR,11.94,26.76,96.91,35.47,opendata.reseaux-energies.fr,false,""
2024-01-02T07:00:00.000000,France,France,FR,12.12,26.93,96.86,36.16,opendata.reseaux-energies.fr,false,""
2024-01-02T08:00:00.000000,France,France,FR,12.22,27.04,96.84,36.59,opendata.reseaux-energies.fr,false,""
2024-01-02T09:00:00.000000,France,France,FR,11.98,26.8,96.91,37.11,opendata.reseaux-energies.fr,false,""
2024-01-02T10:00:00.000000,France,France,FR,11.7,26.62,96.99,37.55,opendata.reseaux-energies.fr,false,""
2024-01-02T11:00:00.000000,France,France,FR,11.84,26.83,96.94,37.72,opendata.reseaux-energies.fr,false,""
2024-01-02T12:00:00.000000,France,France,FR,11.71,26.7,96.98,37.86,opendata.reseaux-energies.fr,false,""
2024-01-02T13:00:00.000000,France,France,FR,11.73,26.68,96.97,37.83,opendata.reseaux-energies.fr,false,""
